Map,My Agent,Teammate1,Teammate2,Teammate3,Teammate4,Victory
Abyss,Cypher,Raze,Breach,Reyna,Omen,False
Lotus,Raze,Iso,Reyna,Neon,Jett,False
Pearl,Cypher,Sova,Clove,Phoenix,Reyna,True
Bind,Raze,Jett,Cypher,Omen,Skye,False
Split,Yoru,Clove,Killjoy,Neon,Tejo,False
Fracture,Raze,Breach,Tejo,Clove,Deadlock,False
Pearl,Reyna,Omen,Vyse,Tejo,Raze,True
Fracture,Brimstone,Jett,Yoru,Tejo,Cypher,True
Bind,Raze,Deadlock,Sova,Reyna,Clove,False
Haven,Sova,Sage,Jett,Raze,Omen,False
